Date,#,Event Type,Description
,3,Historical Fact,Fun Fact: The Scotch Gambit is an aggressive way for White to seize the initiative through a central pawn sacrifice.
Sep 16,1,Birth,"1994: Birth of Grandmaster Maxim Matlakov, a successful Russian player and former European Champion."
,2,Tournament Start,"2025: The World Teams Championship continues, showcasing the competitive spirit of national teams."
,3,Historical Fact,"Fun Fact: Matlakov won the European Individual Chess Championship in 2017, demonstrating his elite-level talent."
Sep 17,1,Birth,"1991: Birth of Grandmaster Srinath Narayanan, an Indian Grandmaster and Olympiad team member."
,2,Match Start,"2025: The Candidates Tournament continues its exciting rounds, with players vying for the World Championship challenge."
,3,Historical Fact,"Fun Fact: The Grünfeld Defense is a modern, reliable defense for Black, famous for its sharp tactical lines."
Sep 18,1,Birth,"2004: Birth of Grandmaster Nodirbek Abdusattorov, the 2021 World Rapid Chess Champion and one of the youngest GMs ever."
,2,Tournament End,"2024: The 45th Chess Olympiad concluded, with India winning the gold medal in both the Open and Women's sections."
,3,Historical Fact,Fun Fact: Abdusattorov's World Rapid Championship victory at age 17 was a historic achievement for Uzbekistan.
Sep 19,1,Birth,"2006: Birth of Grandmaster Aditya Mittal, an Indian Grandmaster and rising young star."
,2,Tournament Start,2025: The Dutch Meesterklasse (National Team Championship) is scheduled to begin its season.
,3,Historical Fact,"Fun Fact: The Dutch Defense is an uncompromising opening for Black, aiming for a kingside attack."
Sep 20,1,Birth,"1978: Birth of Grandmaster Dmitry Jakovenko, a former World Championship Candidate and Russian Champion."
,2,Tournament Start,"2025: The Hungarian Superleague is scheduled to begin its season, showcasing top club teams."
,3,Historical Fact,"Fun Fact: The Vienna Game: Max Lange Attack is an aggressive line for White, often leading to spectacular tactical possibilities."
Sep 21,1,Birth,"1982: Birth of Grandmaster Sergey Karjakin, the 2015 World Cup winner and 2016 World Championship Challenger."
,2,Tournament Start,"2025: The European Clubs Cup is scheduled to begin, featuring the strongest club teams across Europe."
,3,Historical Fact,"Fun Fact: Karjakin became the youngest Grandmaster in history in 2002, a record he held for 19 years."
Sep 22,1,Tournament End,"2025: The FIDE World Cup for Women concluded, with the champion securing qualification for the World Championship cycle."
,2,Match End,"2025: The Women's World Championship Match continues, with the players demonstrating elite classical preparation."
,3,Historical Fact,Fun Fact: The Petrov Defense is known for its drawing reputation at the highest levels of classical chess.
Sep 23,1,Birth,"1979: Birth of Grandmaster Dmitry Kokarev, a Russian Grandmaster."
,2,Tournament Start,"2025: The World Youth Rapid & Blitz Championships are scheduled to begin, featuring the next generation of speed chess champions."
,3,Historical Fact,"Fun Fact: The Queen's Gambit Accepted is a solid and positional choice for Black, leading to flexible middlegames."
Sep 24,1,Birth,"1979: Birth of Grandmaster Francisco Vallejo Pons, a multiple-time Spanish Champion."
,2,Match End,"2025: The Candidates Tournament continues, with players displaying creative and dynamic play in the second half."
,3,Historical Fact,Fun Fact: Vallejo Pons has been a consistent presence at the top of Spanish and world chess for two decades.
Sep 25,1,Birth,"1990: Birth of Grandmaster Samuel Sevian, a successful American player and one of the country's youngest Grandmasters."
,2,Tournament Start,"2025: The European Junior Team Championship is scheduled to begin, celebrating youth team success."
,3,Historical Fact,"Fun Fact: Sevian was the youngest Grandmaster in U.S. history at the time he earned the title (13 years, 10 months, 27 days)."
Sep 26,1,Tournament Start,"2025: The German Bundesliga (National Team Championship) is scheduled to begin its season, featuring elite team chess."
,2,Tournament Start,"2025: The Saint Louis Fall Chess Classic is scheduled to begin, offering GM/IM norm opportunities."
,3,Historical Fact,"Fun Fact: The German Bundesliga is one of the strongest club leagues in the world, attracting top international talent."
Sep 27,1,Birth,"1989: Birth of Grandmaster Andrei Volokitin, a former World Junior Champion."
,2,Tournament Start,"2025: The Collegiate Chess League (CCL) Fall season begins, featuring top university teams competing online."
,3,Historical Fact,"Fun Fact: Volokitin won the World Junior Championship in 2004, showcasing his prodigious talent."
Sep 28,1,Birth,"1982: Birth of Grandmaster Abhijeet Gupta, an Indian Grandmaster and former World Junior Champion."
,2,Tournament End,"2025: The European Clubs Cup continues, with the leading club teams emerging."
,3,Historical Fact,"Fun Fact: Gupta won the World Junior Championship in 2008, maintaining India's strong presence in youth chess."
Sep 29,1,Birth,"1964: Birth of Grandmaster Alexander Khalifman, the FIDE World Chess Champion from 1999 to 2000."
,2,Tournament Start,"2025: The GOTHAMCHESS vs. The World event is scheduled to begin, an exciting online event pitting a top streamer against a community."
,3,Historical Fact,Fun Fact: Khalifman's victory in the 1999 FIDE Knockout World Championship was a testament to his deep positional understanding.
Sep 30,1,Match End,"2025: The Women's World Championship Match continues, with the challenger and champion fighting for the highest title."
,2,Tournament End,"2025: The World Youth Rapid & Blitz Championships concluded, celebrating the world's best young speed chess players."
,3,Historical Fact,"Fun Fact: The Sicilian Kan/Paulsen Variation is a solid and reliable choice for Black, avoiding excessive complexity."


Date,#,Event Type,Description
Oct 1,1,Birth,"1991: Birth of Grandmaster Sam Shankland, an American player, 2018 U.S. Champion, and Olympiad Gold Medalist."
,2,Historical Fact,"2025: The October FIDE Rating List was released, confirming the elite status of the world's top players."
,3,Historical Fact,Fun Fact: Shankland won individual gold and a team gold medal for the U.S. at the 2016 Chess Olympiad.
Oct 2,1,Birth,"1956: Birth of Grandmaster Jonathan Speelman, an English player, three-time British Champion, and World Championship Candidate."
,2,Tournament Start,"2025: The Speed Chess Championship continues, featuring thrilling matches between the fastest Grandmasters online."
,3,Tournament End,"2025: The US Chess Championship is scheduled to begin, a highlight of American classical chess."
Oct 3,1,Birth,"1983: Birth of Woman Grandmaster Zeinab Mamedyarova, a three-time Azerbaijani Women's Champion."
,2,Tournament End,"2025: The Grand Chess Tour Finals concluded, with Fabiano Caruana winning the overall 2025 GCT title in spectacular fashion."
,3,Historical Fact,"Fun Fact: Zeinab is the older sister of Grandmasters Shakhriyar and Turkan Mamedyarov, forming a famously talented chess family."
Oct 4,1,Birth,"1977: Birth of Grandmaster Bartłomiej Macieja, a Polish player and two-time National Champion."
,2,Match End,"2002: The Brains in Bahrain match concluded, with Vladimir Kramnik winning his famous challenge against the Deep Fritz computer program."
,3,Historical Fact,Fun Fact: Kramnik's victory over Deep Fritz secured a major triumph for human chess skill in the era of early super-computers.
Oct 5,1,Birth,"1972: Birth of Woman Grandmaster Anna-Maria Botsari, a successful Greek player."
,2,Tournament Start,"2025: The FIDE World Rapid and Blitz Championships qualification events continue, showcasing the world's best speed players."
,3,Historical Fact,"Fun Fact: The Sicilian Sveshnikov is an aggressive defense for Black, famous for sacrificing pawn structure for dynamic piece play."
Oct 6,1,Birth,"1982: Birth of Grandmaster Levon Aronian, a two-time World Cup winner and former World Rapid and Blitz Champion."
,2,Tournament Start,"2025: The Russian Superfinal for men and women is scheduled to begin, determining the National Champions."
,3,Historical Fact,"Fun Fact: Aronian is widely celebrated for his creative and imaginative play, making him one of the game's most exciting players."
Oct 7,1,Birth,"1972: Birth of Grandmaster Loek van Wely, an eight-time Dutch Champion and former top-ten player."
,2,Tournament End,"2025: The US Chess Championship continues, with players entering the decisive final rounds."
,3,Historical Fact,Fun Fact: Van Wely demonstrated incredible national dominance by winning the Dutch Championship six consecutive times (2000-2005).
Oct 8,1,Birth,"1929: Birth of Grandmaster Arthur Bisguier, a prominent American player, three-time U.S. Open Champion, and 1954 U.S. Champion."
,2,Match Start,"2000: The Classical World Chess Championship began, with Vladimir Kramnik ultimately defeating Garry Kasparov to take the title."
,3,Historical Fact,Fun Fact: Bisguier was a key figure in popularizing chess across the United States in the mid-20th century.
Oct 9,1,Birth,"1990: Birth of Grandmaster Wesley So, a three-time U.S. Champion, World Fischer Random Champion, and World Grand Chess Tour winner."
,2,Tournament End,"2025: The Russian Superfinal for men and women concluded, crowning the National Champions."
,3,Historical Fact,Fun Fact: Wesley So's victory in the inaugural World Fischer Random Chess Championship in 2019 demonstrated his universal mastery of the game.
Oct 10,1,Birth,"1980: Birth of Grandmaster Maxim Vachier-Lagrave (MVL), a French top player and World Blitz Champion."
,2,Tournament Start,"2025: The Candidates Tournament continues, with the contenders battling for the right to challenge the World Champion."
,3,Historical Fact,"Fun Fact: MVL won the World Blitz Championship in 2021, proving his exceptional skill in high-speed chess."
Oct 11,1,Birth,"1914: Birth of Grandmaster Reuben Fine, an American master considered one of the most brilliant natural talents in chess history."
,2,Tournament Start,2025: The World Rapid and Blitz Championships are scheduled to begin in Kazakhstan.
,3,Historical Fact,"Fun Fact: Fine holds a positive overall score in his games against World Champions, a rare achievement."
Oct 12,1,Birth,"1949: Birth of Woman Grandmaster Nana Alexandria, a two-time Women's World Championship Challenger."
,2,Match Start,"1987: The World Chess Championship match began, a thrilling contest between Garry Kasparov and Anatoly Karpov, which Kasparov ultimately won."
,3,Historical Fact,"Fun Fact: Alexandria was a pillar of Soviet women's chess, achieving significant success on the world stage."
Oct 13,1,Tournament End,"2025: The US Chess Championship concluded, crowning the best male and female players in the United States."
,2,Match End,"2006: The World Chess Championship unification match concluded, with Vladimir Kramnik defeating Veselin Topalov to become the undisputed World Champion."
,3,Historical Fact,"Fun Fact: Kramnik's 2006 victory unified the split World Chess title, returning the game to a single line of succession."
Oct 14,1,Match Start,"2008: The World Chess Championship match began in Bonn, with Viswanathan Anand ultimately defeating Vladimir Kramnik to retain the title."
,2,Tournament End,"2025: The World Rapid and Blitz Championships continue, featuring incredible displays of speed and calculation."
,3,Historical Fact,"Fun Fact: Anand's 2008 win cemented his status as a legendary World Champion, winning against one of the strongest players of his generation."
Oct 15,1,Birth,"1951: Birth of Grandmaster Rafael Vaganian, a former World Championship Candidate and highly decorated Soviet player."
,2,Tournament End,"2005: The FIDE World Chess Championship tournament in San Luis concluded, with Veselin Topalov winning the title."
,3,Historical Fact,"Fun Fact: Vaganian was known for his highly tactical and aggressive style, leading to many beautiful attacking games."
Oct 16,1,Tournament Start,"2025: The Bundesliga (German Team Championship) continues, with the top German clubs competing fiercely."
,2,Tournament End,2025: The Candidates Tournament continues its dramatic run towards the conclusion.
,3,Historical Fact,"Fun Fact: The King's Indian Attack is a versatile opening system for White, allowing players to utilize consistent development plans."
Oct 17,1,Match End,"2025: The Women's World Championship Match continues, with the player who reaches 6.5 points claiming the World Champion title."
,2,Historical Fact,Fun Fact: The Sicilian Najdorf remains the most complex and respected defense for Black against 1. e4.
,3,Historical Fact,"Fun Fact: The Catalan Opening is a strategic masterpiece for White, combining a fianchettoed Bishop with a strong central pawn presence."
Oct 18,1,Match End,"2004: The Classical World Chess Championship match concluded, with Vladimir Kramnik retaining his title against Peter Leko."
,2,Tournament Start,"2025: The FIDE Grand Prix series is scheduled to begin, offering elite qualification spots."
,3,Historical Fact,"Fun Fact: The Kramnik-Leko match was a high-stakes, dramatic contest that solidified Kramnik's claim to the World Champion title."
Oct 19,1,Tournament Start,"2025: The European Clubs Cup continues, with the leading club teams from across the continent advancing."
,2,Match End,"2025: The Women's World Championship Match continues, with the winner being crowned after a thrilling classical battle."
,3,Historical Fact,"Fun Fact: The Queen's Indian Defense is a flexible and hypermodern response for Black, fighting for control of the long diagonal."
Oct 20,1,Birth,"1982: Birth of Grandmaster Dmitry Jakovenko, a former World Championship Candidate and Russian Champion."
,2,Tournament End,"2025: The World Rapid and Blitz Championships concluded, crowning the world champions in both formats."
,3,Historical Fact,"Fun Fact: The Grünfeld Defense is a highly dynamic opening for Black, aiming for counterplay against White's central dominance."
Oct 21,1,Birth,"1990: Birth of Grandmaster Maxime Vachier-Lagrave (MVL), one of the world's elite Grandmasters and World Blitz Champion."
,2,Match End,"1993: The PCA World Chess Championship concluded, with Garry Kasparov defeating Nigel Short in a dominant performance."
,3,Historical Fact,Fun Fact: MVL is known for his mastery of the Sicilian Najdorf and his incredible tactical imagination.
Oct 22,1,Tournament Start,"2025: The European Team Chess Championship is scheduled to begin, a major continental team event."
,2,Tournament Start,"2025: The FIDE Grand Prix continues, with players vying for top finishes and rating gains."
,3,Historical Fact,"Fun Fact: The English Opening is a strategic and positional opening for White, offering flexible and solid development."
Oct 23,1,Tournament End,"2025: The Candidates Tournament concluded, with a worthy challenger emerging to face the World Champion."
,2,Historical Fact,Fun Fact: The winner of the Candidates Tournament earned the most significant challenge in chess: the opportunity to play for the World Championship title.
,3,Historical Fact,"Fun Fact: The Caro-Kann Defense is a reliable and solid defense for Black, known for its enduring positional structure."
Oct 24,1,Birth,"1992: Birth of World Champion Ding Liren, the 17th World Chess Champion."
,2,Birth,"1994: Birth of Grandmaster Vidit Gujrathi, a successful Indian Grandmaster and World Cup quarter-finalist."
,3,Historical Fact,"Fun Fact: Ding Liren's victory in the 2023 World Championship match made him the first-ever Chinese male World Champion, a massive milestone."
Oct 25,1,Tournament End,"2025: The European Clubs Cup concluded, celebrating the champion club team of Europe."
,2,Tournament Start,"2025: The US Women's Chess Championship continues, with the final rounds deciding the champion."
,3,Historical Fact,"Fun Fact: The Sicilian Classical Variation is a time-tested defense for Black, offering chances for complex, balanced play."
Oct 26,1,Birth,"1978: Birth of Grandmaster Francisco Vallejo Pons, a multiple-time Spanish Champion."
,2,Tournament End,"2025: The European Team Chess Championship continues, with teams showcasing their national strength."
,3,Historical Fact,Fun Fact: Vallejo Pons has been a consistent presence at the top of the Spanish and world chess elite for over two decades.
Oct 27,1,Birth,"1951: Birth of Grandmaster Zoltán Ribli, a Hungarian player and former World Championship Candidate."
,2,Tournament Start,"2025: The Saint Louis Fall Chess Classic continues, as players vie for GM and IM norms."
,3,Historical Fact,Fun Fact: Ribli was a pivotal member of the highly successful Hungarian Chess Olympiad teams.
Oct 28,1,Birth,"1986: Birth of Grandmaster Yuri Kryvoruchko, a Ukrainian Grandmaster and former National Champion."
,2,Tournament End,"2025: The FIDE Grand Prix continues, with the tournament leaders consolidating their positions."
,3,Historical Fact,"Fun Fact: The Queen's Gambit Accepted is a sound and strategic choice for Black, conceding the center but gaining positional freedom."
Oct 29,1,Birth,"1983: Birth of Grandmaster Alexander Moiseenko, a Ukrainian Grandmaster and former European Champion."
,2,Tournament End,"2025: The European Team Chess Championship concluded, celebrating the victorious national teams."
,3,Historical Fact,"Fun Fact: Moiseenko won the European Individual Chess Championship in 2013, a testament to his individual skill."
Oct 30,1,Birth,"1892: Birth of World Champion Alexander Alekhine, the 4th World Chess Champion, famed for his brilliant attacks and deep theory."
,2,Birth,"1979: Birth of Grandmaster Jeffrey Xiong, a successful American player and former U.S. Junior Champion."
,3,Historical Fact,"Fun Fact: Alekhine is considered one of the greatest attacking players in chess history, known for his relentless pursuit of the King."
Oct 31,1,Birth,"1979: Birth of Grandmaster Alexander Grischuk, a former World Blitz Champion and multiple World Championship Candidate."
,2,Tournament End,"2025: The US Women's Chess Championship concluded, crowning the champion of American women's chess."
,3,Historical Fact,Fun Fact: Grischuk's three World Blitz Championship titles showcase his exceptional talent and tactical depth in speed chess.

Date,#,Event Type,Description
Nov 1,1,Birth,"1989: Birth of Grandmaster Eduardo Iturrizaga, the first player from Venezuela to achieve the GM title."
,2,Tournament End,"2025: The FIDE World Senior Championship concluded, celebrating the most successful senior players of the year."
,3,Historical Fact,"Fun Fact: The November FIDE Rating List was released, showcasing the achievement of over 2,750 points by the world's leading Grandmasters."
Nov 2,1,Birth,"1974: Birth of International Master and Woman Grandmaster Sofia Polgár, one of the famous Polgár sisters."
,2,Tournament Start,2025: The FIDE World Cup for Women continues its thrilling knockout matches into the final rounds.
,3,Historical Fact,"Fun Fact: In 1989, Sofia Polgár set a world record by achieving a stunning 2879 performance rating at the Rome Open."
Nov 3,1,Birth,"1978: Birth of Grandmaster Sergei Movsesian, a successful Armenian Grandmaster and former Czech Champion."
,2,Tournament End,"2025: The Saint Louis Fall Chess Classic concluded, with players achieving crucial GM/IM norms and titles."
,3,Historical Fact,"Fun Fact: The Sicilian Defense: Paulsen/Kan Variation is a solid and reliable choice for Black, avoiding sharp tactical lines."
Nov 4,1,Birth,"1951: Birth of Grandmaster Eugenio Torre, the first Grandmaster from Asia."
,2,Birth,"1990: Birth of Grandmaster Mariya Muzychuk, the 15th Women's World Chess Champion."
,3,Historical Fact,"Fun Fact: Torre's 1974 GM title was a groundbreaking achievement, inspiring the growth of chess across Asia."
Nov 5,1,Birth,"1992: Birth of Grandmaster Mustafa Yılmaz, a Turkish Grandmaster and former National Champion."
,2,Match End,"2025: The Women's World Championship Match concluded, crowning a new or incumbent World Champion."
,3,Historical Fact,"Fun Fact: The Benko Gambit Accepted is a fighting line for White, gaining a temporary pawn for long-term positional advantages."
Nov 6,1,Birth,"1948: Birth of Grandmaster Robert Hübner, a World Championship Candidate and highly-rated German player."
,2,Tournament Start,"2025: The London Chess Classic is scheduled to begin, featuring top Grandmasters in a prestigious classical format."
,3,Historical Fact,"Fun Fact: Hübner achieved the World No. 3 ranking in 1981, demonstrating his exceptional talent in the pre-computer era."
Nov 7,1,Birth,"1886: Birth of Grandmaster Aron Nimzowitsch, one of the founders of the hypermodern school of chess."
,2,Tournament End,"2025: The FIDE World Cup for Women concluded, with the champion securing her spot in the Women's World Championship cycle."
,3,Historical Fact,"Fun Fact: Nimzowitsch's book, My System, remains a cornerstone of modern positional chess instruction."
Nov 8,1,Birth,"1931: Birth of International Master Nikolai Minev, a multiple-time Bulgarian Champion and chess author."
,2,Tournament Start,"2025: The US Masters and Open is scheduled to begin, offering norm opportunities in a strong American open."
,3,Historical Fact,Fun Fact: The Bogo-Indian Defense is a reliable and popular system for Black that immediately pins the white Knight.
Nov 9,1,Historical Milestone,1985: Garry Kasparov defeated Anatoly Karpov to become the 13th and youngest-ever World Chess Champion at age 22.
,2,Birth,"1891: Birth of Frank Marshall, American Champion and renowned attacking player."
,3,Historical Fact,Fun Fact: Kasparov's win in Game 24 of the 1985 match (with the Sicilian Najdorf) is one of the most celebrated in history.
Nov 10,1,Birth,"1990: Birth of Grandmaster Maxim Rodshtein, an Israeli Grandmaster and Olympiad Silver Medalist."
,2,Tournament Start,"2025: The European Team Chess Championship continues, with teams vying for continental supremacy."
,3,Historical Fact,"Fun Fact: The King's Indian Defense is a dynamic and aggressive defense for Black, aiming for a kingside counterattack."
Nov 11,1,Birth,"1992: Birth of Grandmaster Gawain Jones, a two-time British Champion and a leading English player."
,2,Match End,"2025: The Candidates Tournament continues, with players entering the decisive rounds to determine the World Championship Challenger."
,3,Historical Fact,Fun Fact: Jones is famous for his book How to Beat the Sicilian Defence.
Nov 12,1,Birth,"1971: Birth of Grandmaster Ruslan Shcherbakov, a Russian Grandmaster."
,2,Match End,"2008: The World Chess Championship match concluded, with Viswanathan Anand defeating Vladimir Kramnik to retain the title."
,3,Historical Fact,"Fun Fact: Anand's 2008 victory was a great triumph, showcasing his adaptability and preparation against a formidable opponent."
Nov 13,1,Birth,"1978: Birth of Grandmaster Yuri Kuzubov, a former Ukrainian Champion."
,2,Tournament Start,2025: The FIDE Grand Prix series continues its high-stakes qualification events.
,3,Historical Fact,"Fun Fact: The English Opening is a solid and strategic choice for White, often leading to complex positional battles."
Nov 14,1,Birth,"1988: Birth of Grandmaster Emanuel Berg, a Swedish Grandmaster."
,2,Tournament Start,"2025: The Croatian Team Championship is scheduled to begin, featuring the strongest teams in the region."
,3,Historical Fact,"Fun Fact: The Petrov Defense is a respected defense for Black, often leading to symmetrical and solid positions."
Nov 15,1,Match End,"2024: The European Team Chess Championship concluded, with France winning the Open section and Ukraine the Women's section."
,2,Tournament Start,"2025: The Leonine 3rd Grandmasters Chess is scheduled to begin, offering norm opportunities."
,3,Historical Fact,Fun Fact: The Queen's Gambit Declined: Orthodox Defense is one of the most fundamental and reliable defenses in chess theory.
Nov 16,1,Birth,"1975: Birth of Grandmaster Boris Gelfand, a World Championship Challenger and former World Cup winner."
,2,Tournament Start,"2025: The Arab Individual Chess Championships are scheduled to begin, showcasing the best players in the region."
,3,Historical Fact,Fun Fact: Gelfand's run to the 2012 World Championship match was a triumph of deep positional chess and lifelong dedication.
Nov 17,1,Birth,"1962: Birth of Grandmaster Alexander Chernin, a former World Championship Candidate."
,2,Tournament Start,"2025: The FIDE Women's World Team Championship is scheduled to begin, featuring the elite women's national teams."
,3,Historical Fact,"Fun Fact: The Ruy Lopez: Marshall Attack is a famous, dynamic pawn sacrifice for Black that immediately creates counterplay."
Nov 18,1,Birth,"1980: Birth of Grandmaster Hikaru Nakamura, a World Championship Candidate and multiple U.S. Champion."
,2,Tournament End,"2025: The London Chess Classic continues, with players battling for the title in the final rounds."
,3,Historical Fact,Fun Fact: Nakamura is recognized as one of the best online blitz and bullet players in the world.
Nov 19,1,Birth,"1888: Birth of World Champion José Raúl Capablanca, the 3rd World Chess Champion, famed for his clear, effortless technique."
,2,Birth,"1905: Birth of Grandmaster Isaac Kashdan, a brilliant American master."
,3,Historical Fact,Fun Fact: Capablanca holds one of the greatest unbeaten streaks in classical chess history (1916–1924).
Nov 20,1,Birth,"1976: Birth of Grandmaster Jaan Ehlvest, a successful Estonian-American player."
,2,Tournament Start,"2025: The Shirvan Open is scheduled to begin, offering a strong competition opportunity."
,3,Historical Fact,"Fun Fact: The Sicilian Dragon Variation is a dynamic opening for Black, famous for its sharp tactical lines."
Nov 21,1,Birth,"1908: Birth of Grandmaster Salo Flohr, a World Championship Candidate and one of the most famous chess journalists."
,2,Tournament End,"2025: The Croatian Team Championship concluded, celebrating the winning team in a tight contest."
,3,Historical Fact,Fun Fact: Flohr was considered one of the leading contenders for the World Championship in the 1930s.
Nov 22,1,Birth,"1979: Birth of Grandmaster Sergei Rublevsky, a former Russian Champion and multiple Olympiad Gold Medalist."
,2,Tournament Start,"2025: The SPICE Cup Blitz event is scheduled to begin, featuring an exciting American blitz competition."
,3,Historical Fact,Fun Fact: Rublevsky's contribution to the Russian Olympiad teams earned him several gold medals for team success.
Nov 23,1,Tournament End,"2025: The FIDE Women's World Team Championship concluded, with a national team securing the prestigious gold medal."
,2,Tournament End,"2025: The Collegiate Chess League: Fall season concluded, celebrating the champions of university chess."
,3,Historical Fact,"Fun Fact: The Semi-Slav Defense is a highly dynamic and popular choice for Black, balancing solid defense with counter-attacking chances."
Nov 24,1,Birth,"1985: Birth of Grandmaster Shakhriyar Mamedyarov, an Azerbaijani Grandmaster, World Junior Champion, and former World Rapid Champion."
,2,Tournament End,"2025: The SPICE Cup Rapid Championship concluded, celebrating the winner of the rapid tournament."
,3,Historical Fact,Fun Fact: Mamedyarov is one of the few players to break the 2800 FIDE rating barrier.
Nov 25,1,Tournament Start,"2025: The XTX Markets London Chess Classic is scheduled to begin, featuring elite classical competition."
,2,Match End,"1990: The World Chess Championship match concluded, with Garry Kasparov defeating Anatoly Karpov to retain his title."
,3,Historical Fact,Fun Fact: Kasparov's 1990 victory marked the end of his famous quadrilogy of classical World Championship matches against Karpov.
Nov 26,1,Birth,"1911: Birth of Grandmaster Samuel Reshevsky, a Polish-American chess prodigy and seven-time U.S. Champion."
,2,Tournament End,"2025: The FIDE World Cup concluded, celebrating the champion of the knockout tournament."
,3,Historical Fact,"Fun Fact: Reshevsky was a phenomenal child prodigy, giving simultaneous exhibitions at age six."
Nov 27,1,Birth,"1973: Birth of Grandmaster Vladimir Akopian, a former World Championship Candidate and multiple Olympiad Gold Medalist for Armenia."
,2,Tournament Start,"2025: The XXII Gran Hotel Bali Festival is scheduled to begin, a major open tournament in Spain."
,3,Historical Fact,Fun Fact: The Scotch Game is an open and engaging opening for White that focuses on quick development and central control.
Nov 28,1,Birth,"1981: Birth of Grandmaster Zviad Izoria, a Georgian-American Grandmaster."
,2,Tournament Start,"2025: The Sinquefield Cup (Grand Chess Tour) is scheduled to begin in St. Louis, the final classical GCT event of the year."
,3,Historical Fact,"Fun Fact: The Queen's Gambit Accepted is a solid and strategic defense for Black, focusing on flexible piece play."
Nov 29,1,Birth,"1986: Birth of Grandmaster Vugar Gashimov, a brilliant and deeply respected Azerbaijani Grandmaster known for his creativity."
,2,Tournament End,"2025: The London Chess Classic continues, with players battling in the late stages of the elite event."
,3,Historical Fact,"Fun Fact: The Vugar Gashimov Memorial tournament is held annually in his honor, celebrating his unique contribution to the game."
Nov 30,1,Birth,"1990: Birth of World Champion Magnus Carlsen, the 16th World Chess Champion and highest-rated player in history."
,2,Tournament Start,"2025: The Groningen Chess Festival is scheduled to begin, a popular international open tournament."
,3,Historical Fact,Fun Fact: Carlsen's peak classical rating of 2882 is the highest FIDE rating ever achieved.

Date,#,Event Type,Description
Dec 1,1,Historical Fact,"2025: The December FIDE Rating List was released, confirming the final standings and prize money distribution for the FIDE Circuit."
,2,Tournament Start,"2025: The FIDE Women's Grand Prix continues its cycle, with the strongest women players competing for World Championship qualification."
,3,Tournament Start,"2025: The President Cup is scheduled to begin in Uzbekistan, a major international open tournament."
Dec 2,1,Birth,"1981: Birth of Grandmaster Davit Shengelia, a Georgian-German Grandmaster and former National Champion."
,2,Tournament Start,"2025: The SuperPogChamps tournament is scheduled to begin, an exciting amateur event featuring popular streamers."
,3,Historical Fact,Fun Fact: The Trompowsky Attack is a tricky and effective opening for White that avoids massive amounts of opening theory.
Dec 3,1,Tournament Start,2025: The **IV President Cup
,2,Tournament End,"2025: The Sinquefield Cup (Grand Chess Tour) continues, as players enter the final, decisive stages."
,3,Historical Fact,"Fun Fact: The Reti Opening is a strategic and flexible flank opening for White, controlling the center from the wing."
Dec 4,1,Tournament Start,2025: The 7th Yerevan Open International Tournament is scheduled to begin in Armenia.
,2,Birth,"1981: Birth of Woman Grandmaster Keti Tsatsalashvili, a successful Georgian player."
,3,Historical Fact,"Fun Fact: The Slav Defense is known for its structural integrity, offering Black a highly resilient position."
Dec 5,1,Tournament Start,"2025: The Szmetan-Giardelli Masters is scheduled to begin, offering norm opportunities in Argentina."
,2,Tournament Start,"2025: The VI Villa de Marchena Open is scheduled to begin, providing strong competition in Spain."
,3,Historical Fact,Fun Fact: The King's Gambit Declined is a safe and strategic way for Black to gain a solid position after 1. e4 e5 2. f4.
Dec 6,1,Birth,"1971: Birth of Grandmaster Alexander Baburin, a strong Irish player and chess commentator."
,2,Tournament Start,"2025: The World Youth Chess Championship continues its run, featuring the world's best young talent."
,3,Historical Fact,"Fun Fact: The Queen's Gambit Accepted is a sound choice for Black, conceding the center but gaining a free, active position."
Dec 7,1,Birth,"1949: Birth of Grandmaster Robert Bellin, an English Grandmaster."
,2,Tournament End,2025: The **IV President Cup
,3,Historical Fact,"Fun Fact: The Dutch Defense is an aggressive and complex opening for Black, aiming for a kingside attack."
Dec 8,1,Tournament End,"2025: The XXII Gran Hotel Bali Festival concluded, with players achieving success in the major Spanish open."
,2,Tournament End,"2025: The SuperPogChamps tournament concluded, crowning the champion of the streamer event."
,3,Historical Fact,Fun Fact: The Caro-Kann Defense is praised for its robust and reliable pawn structure for Black.
Dec 9,1,Birth,"1987: Birth of Grandmaster Hikaru Nakamura, a World Championship Candidate and multiple U.S. Champion."
,2,Tournament End,"2025: The Groningen Chess Festival continues, featuring the final rounds of the holiday open."
,3,Historical Fact,"Fun Fact: Nakamura holds the record for the youngest American ever to achieve the International Master title at the time (13 years, 2 months)."
Dec 10,1,Birth,"1841: Birth of Grandmaster Joseph Henry Blackburne, known as ""The Black Death"" for his attacking brilliance."
,2,Tournament End,"2025: The President Cup in Uzbekistan concluded, celebrating the winner of the prestigious event."
,3,Historical Fact,"Fun Fact: Blackburne's career spanned five decades, making him one of the most enduring figures in 19th-century chess."
Dec 11,1,Birth,"1969: Birth of World Champion Viswanathan Anand, the 15th undisputed World Champion and a former World Rapid and Blitz Champion."
,2,Tournament Start,"2025: The XII Sunway Sitges International Festival is scheduled to begin in Spain, a popular December open."
,3,Historical Fact,"Fun Fact: Anand was the first player from Asia to win the World Chess Championship (FIDE, 2000)."
Dec 12,1,Historical Milestone,2024: Gukesh D defeated Ding Liren to become the 18th and youngest undisputed World Chess Champion at age 18.
